character,copyright,trigger,core_tags,count,solo_count,url
hatsune_miku,vocaloid,"hatsune miku, miku, vocaloid","1girl, aqua_hair, long_hair, twintails, detached_sleeves",103500,75493,https://danbooru.donmai.us/posts?tags=hatsune_miku
hakurei_reimu,touhou,"hakurei reimu, reimu, touhou","1girl, brown_hair, long_hair, hair_bow, detached_sleeves",78109,27118,https://danbooru.donmai.us/posts?tags=hakurei_reimu
